Queries,Task,Category,Sub_Category,Customer
display Net sales  Sauces in Week Week41?,Net sales,Sauces,NA,NA
get Revenue  Grated in Year 2019?,Revenue,NA,Grated,NA
get Net sales  Target in Week Week9?,Net sales,NA,NA,Target
get Revenue  Cheese in Year 2019?,Revenue,Cheese,NA,NA
get Gross Sales  Bacon in Quarter Q4?,Gross Sales,NA,Bacon,NA
get Bottom Line  Albertsons/Safeway in Month Jan to Nov?,Bottom Line,NA,NA,Albertsons/Safeway
display Max Shipment  Sauces in Year 2019?,Max Shipment,Sauces,NA,NA
get Gross Sales  Breakfast in Year 2019?,Gross Sales,Breakfast,NA,NA
display Max Shipment  Albertsons/Safeway in Quarter Q3?,Max Shipment,NA,NA,Albertsons/Safeway
get Top Line  Candy in Year 2019?,Top Line,Candy,NA,NA
get Gross Sales  Caramels in Quarter Q3?,Gross Sales,NA,Caramels,NA
get Gross Sales  Cold Cuts in Quarter Q2 to Q4?,Gross Sales,NA,Cold Cuts,NA
fetch Count  Breakfast in Year 2019?,Count,Breakfast,NA,NA
display Top Line  Ketchup in Month Mar to Dec?,Top Line,NA,Ketchup,NA
fetch Count  Cheese in Week Week23?,Count,Cheese,NA,NA
get Top Line  Cold Cuts in Week Week11 to Week30?,Top Line,NA,Cold Cuts,NA
display Gross Sales  Cheese in Quarter Q1?,Gross Sales,Cheese,NA,NA
display Net sales  Hard in Year 2019?,Net sales,NA,Hard,NA
get Net sales  Meats in Year 2019?,Net sales,Meats,NA,NA
get Top Line  Chocolate in Quarter Q2 to Q4?,Top Line,NA,Chocolate,NA
fetch Top Line  Cold Cuts in Week Week20?,Top Line,NA,Cold Cuts,NA
display Top Line  Cold Cuts in Quarter Q2 to Q4?,Top Line,NA,Cold Cuts,NA
generate Revenue  Breakfast in Year 2019?,Revenue,Breakfast,NA,NA
display Net sales  Aldi in Month Jan to Sep?,Net sales,NA,NA,Aldi
display Max Shipment  Breakfast in Year 2019?,Max Shipment,Breakfast,NA,NA
get Max Shipment  Shelf Stable in Year 2019?,Max Shipment,NA,Shelf Stable,NA
display Net sales  Dollar General in Quarter Q3?,Net sales,NA,NA,Dollar General
generate Revenue  Breakfast in Quarter Q2 to Q4?,Revenue,Breakfast,NA,NA
fetch Top Line  Albertsons/Safeway in Quarter Q3?,Top Line,NA,NA,Albertsons/Safeway
get Max Shipment  Meats in Month Feb to Nov?,Max Shipment,Meats,NA,NA
display Net sales  Dollar General in Quarter Q1?,Net sales,NA,NA,Dollar General
get Top Line  Creamers in Quarter Q2 to Q4?,Top Line,NA,Creamers,NA
generate Revenue  Breakfast in Quarter Q2?,Revenue,Breakfast,NA,NA
generate Count  Shelf Stable in Year 2019?,Count,NA,Shelf Stable,NA
get Gross Sales  Breakfast in Month May?,Gross Sales,Breakfast,NA,NA
get Top Line  Caramels in Week Week6 to Week35?,Top Line,NA,Caramels,NA
display Net sales  Target in Month Nov?,Net sales,NA,NA,Target
generate Max Shipment  Ketchup in Week Week7 to Week28?,Max Shipment,NA,Ketchup,NA
fetch Net sales  Kroger in Week Week2?,Net sales,NA,NA,Kroger
generate Top Line  Mayonaise in Quarter Q1 to Q4?,Top Line,NA,Mayonaise,NA
get Count  Meats in Week Week8?,Count,Meats,NA,NA
fetch Count  Meats in Week Week4 to Week30?,Count,Meats,NA,NA
display Top Line  Specialty Meats in Month Aug?,Top Line,NA,Specialty Meats,NA
generate Revenue  Kroger in Month May to Dec?,Revenue,NA,NA,Kroger
display Gross Sales  Breakfast in Year 2019?,Gross Sales,Breakfast,NA,NA
fetch Gross Sales  UNIFI in Week Week24 to Week49?,Gross Sales,NA,NA,UNIFI
display Max Shipment  Cheese in Month Jun?,Max Shipment,Cheese,NA,NA
fetch Gross Sales  Natural Cheese in Year 2019?,Gross Sales,NA,Natural Cheese,NA
generate Top Line  Chocolate in Quarter Q4?,Top Line,NA,Chocolate,NA
display Net sales  Sauces in Week Week1 to Week30?,Net sales,Sauces,NA,NA
generate Bottom Line  Kroger in Quarter Q1?,Bottom Line,NA,NA,Kroger
display Count  Processed Cheese in Month Jun to Oct?,Count,NA,Processed Cheese,NA
generate Top Line  Shelf Stable in Month Sep?,Top Line,NA,Shelf Stable,NA
generate Bottom Line  Costco in Week Week5 to Week30?,Bottom Line,NA,NA,Costco
fetch Net sales  Creamers in Month May?,Net sales,NA,Creamers,NA
fetch Max Shipment  Shelf Stable in Quarter Q1 to Q4?,Max Shipment,NA,Shelf Stable,NA
generate Bottom Line  Breakfast in Week Week9?,Bottom Line,Breakfast,NA,NA
get Count  Juice in Year 2019?,Count,NA,Juice,NA
generate Net sales  Bars/Snacks in Quarter Q4?,Net sales,NA,Bars/Snacks,NA
fetch Revenue  Processed Cheese in Month Feb to Aug?,Revenue,NA,Processed Cheese,NA
get Gross Sales  Albertsons/Safeway in Year 2019?,Gross Sales,NA,NA,Albertsons/Safeway
get Max Shipment  All others in Quarter Q1 to Q4?,Max Shipment,NA,All others,NA
display Bottom Line  Cheese in Quarter Q3?,Bottom Line,Cheese,NA,NA
get Top Line  Caramels in Year 2019?,Top Line,NA,Caramels,NA
display Revenue  Mayonaise in Week Week3?,Revenue,NA,Mayonaise,NA
get Count  Candy in Quarter Q1 to Q4?,Count,Candy,NA,NA
generate Bottom Line  Costco in Week Week14?,Bottom Line,NA,NA,Costco
fetch Count  Caramels in Month Mar to Aug?,Count,NA,Caramels,NA
get Gross Sales  Candy in Year 2019?,Gross Sales,Candy,NA,NA
get Revenue  Meats in Year 2019?,Revenue,Meats,NA,NA
fetch Bottom Line  Mayonaise in Week Week51?,Bottom Line,NA,Mayonaise,NA
fetch Max Shipment  Albertsons/Safeway in Week Week9 to Week31?,Max Shipment,NA,NA,Albertsons/Safeway
get Net sales  Meats in Quarter Q4?,Net sales,Meats,NA,NA
fetch Revenue  Aldi in Week Week4 to Week29?,Revenue,NA,NA,Aldi
display Bottom Line  Sauces in Year 2019?,Bottom Line,Sauces,NA,NA
display Bottom Line  Aldi in Year 2019?,Bottom Line,NA,NA,Aldi
generate Revenue  Sauces in Year 2019?,Revenue,Sauces,NA,NA
generate Net sales  UNIFI in Year 2019?,Net sales,NA,NA,UNIFI
get Net sales  Caramels in Year 2019?,Net sales,NA,Caramels,NA
generate Revenue  Meats in Year 2019?,Revenue,Meats,NA,NA
generate Bottom Line  Albertsons/Safeway in Year 2019?,Bottom Line,NA,NA,Albertsons/Safeway
get Top Line  Coffee in Year 2019?,Top Line,NA,Coffee,NA
display Count  Enhancers in Week Week32?,Count,NA,Enhancers,NA
generate Max Shipment  Target in Year 2019?,Max Shipment,NA,NA,Target
get Revenue  Walmart in Week Week40?,Revenue,NA,NA,Walmart
generate Revenue  Processed Cheese in Week Week18 to Week34?,Revenue,NA,Processed Cheese,NA
fetch Net sales  Candy in Week Week43?,Net sales,Candy,NA,NA
fetch Revenue  Coffee in Week Week7 to Week41?,Revenue,NA,Coffee,NA
generate Revenue  Sauces in Quarter Q4?,Revenue,Sauces,NA,NA
generate Net sales  Specialty Meats in Week Week2 to Week48?,Net sales,NA,Specialty Meats,NA
display Bottom Line  Ketchup in Quarter Q3?,Bottom Line,NA,Ketchup,NA
get Bottom Line  Meats in Month Feb to Oct?,Bottom Line,Meats,NA,NA
generate Net sales  Sauces in Quarter Q3?,Net sales,Sauces,NA,NA
display Gross Sales  Hot Dogs in Week Week3 to Week37?,Gross Sales,NA,Hot Dogs,NA
fetch Count  Costco in Year 2019?,Count,NA,NA,Costco
display Net sales  Sauces in Quarter Q2 to Q4?,Net sales,Sauces,NA,NA
generate Top Line  Ahold in Quarter Q3?,Top Line,NA,NA,Ahold
fetch Top Line  Costco in Month May to Dec?,Top Line,NA,NA,Costco
display Max Shipment  Publix in Week Week4?,Max Shipment,NA,NA,Publix
display Count  Creamers in Quarter Q1 to Q4?,Count,NA,Creamers,NA
fetch Gross Sales  Creamers in Week Week6?,Gross Sales,NA,Creamers,NA
display Max Shipment  Cheese in Week Week5 to Week38?,Max Shipment,Cheese,NA,NA
generate Count  Meats in Week Week39?,Count,Meats,NA,NA
fetch Net sales  Coffee in Month May to Nov?,Net sales,NA,Coffee,NA
get Net sales  Bacon in Week Week9?,Net sales,NA,Bacon,NA
display Count  Cold Cuts in Week Week8 to Week36?,Count,NA,Cold Cuts,NA
fetch Top Line  Creamers in Week Week27?,Top Line,NA,Creamers,NA
generate Top Line  Aldi in Month Apr to Dec?,Top Line,NA,NA,Aldi
get Top Line  Tea in Quarter Q4?,Top Line,NA,Tea,NA
get Top Line  Meats in Week Week17 to Week49?,Top Line,Meats,NA,NA
get Gross Sales  Albertsons/Safeway in Year 2019?,Gross Sales,NA,NA,Albertsons/Safeway
display Max Shipment  Meats in Quarter Q1 to Q4?,Max Shipment,Meats,NA,NA
fetch Gross Sales  Meats in Week Week49?,Gross Sales,Meats,NA,NA
fetch Gross Sales  Enhancers in Week Week2 to Week31?,Gross Sales,NA,Enhancers,NA
get Max Shipment  Candy in Month Dec?,Max Shipment,Candy,NA,NA
display Bottom Line  Bacon in Month Mar to Nov?,Bottom Line,NA,Bacon,NA
fetch Net sales  Cold Cuts in Month Mar?,Net sales,NA,Cold Cuts,NA
fetch Net sales  Walmart in Week Week3 to Week32?,Net sales,NA,NA,Walmart
generate Top Line  Amazon in Month Oct?,Top Line,NA,NA,Amazon
get Top Line  Tea in Week Week25 to Week35?,Top Line,NA,Tea,NA
display Net sales  Albertsons/Safeway in Quarter Q2?,Net sales,NA,NA,Albertsons/Safeway
display Net sales  Dollar General in Month May to Aug?,Net sales,NA,NA,Dollar General
generate Net sales  Cheese in Quarter Q4?,Net sales,Cheese,NA,NA
get Net sales  Meats in Year 2019?,Net sales,Meats,NA,NA
fetch Count  Sauces in Quarter Q1?,Count,Sauces,NA,NA
generate Revenue  Albertsons/Safeway in Week Week21 to Week35?,Revenue,NA,NA,Albertsons/Safeway
fetch Max Shipment  Cheese in Week Week26?,Max Shipment,Cheese,NA,NA
generate Revenue  Tea in Week Week4 to Week46?,Revenue,NA,Tea,NA
get Gross Sales  Sauces in Quarter Q2?,Gross Sales,Sauces,NA,NA
fetch Bottom Line  Meats in Month Jan to Aug?,Bottom Line,Meats,NA,NA
get Gross Sales  BBQ in Year 2019?,Gross Sales,NA,BBQ,NA
display Gross Sales  BBQ in Year 2019?,Gross Sales,NA,BBQ,NA
generate Count  Sauces in Month Nov?,Count,Sauces,NA,NA
display Top Line  Ahold in Quarter Q2 to Q4?,Top Line,NA,NA,Ahold
get Net sales  Coffee in Month Feb?,Net sales,NA,Coffee,NA
generate Count  Publix in Month Apr to Dec?,Count,NA,NA,Publix
get Gross Sales  Meats in Quarter Q3?,Gross Sales,Meats,NA,NA
generate Bottom Line  Specialty Meats in Month Jan to Oct?,Bottom Line,NA,Specialty Meats,NA
display Bottom Line  Cheese in Quarter Q2?,Bottom Line,Cheese,NA,NA
display Bottom Line  Candy in Quarter Q2 to Q4?,Bottom Line,Candy,NA,NA
generate Gross Sales  Juice in Quarter Q1?,Gross Sales,NA,Juice,NA
display Max Shipment  Processed Cheese in Month Jun to Dec?,Max Shipment,NA,Processed Cheese,NA
generate Count  Mayonaise in Year 2019?,Count,NA,Mayonaise,NA
fetch Revenue  Meats in Year 2019?,Revenue,Meats,NA,NA
display Net sales  Ahold in Year 2019?,Net sales,NA,NA,Ahold
get Revenue  Sauces in Month Feb to Sep?,Revenue,Sauces,NA,NA
fetch Count  Ahold in Quarter Q4?,Count,NA,NA,Ahold
get Revenue  Costco in Month Jan to Aug?,Revenue,NA,NA,Costco
generate Gross Sales  Cheese in Week Week15?,Gross Sales,Cheese,NA,NA
get Revenue  Dollar General in Month Apr to Aug?,Revenue,NA,NA,Dollar General
generate Gross Sales  Hot Dogs in Year 2019?,Gross Sales,NA,Hot Dogs,NA
generate Top Line  Caramels in Month Mar to Aug?,Top Line,NA,Caramels,NA
fetch Bottom Line  Enhancers in Week Week30?,Bottom Line,NA,Enhancers,NA
generate Bottom Line  Gelatin in Month Jun to Aug?,Bottom Line,NA,Gelatin,NA
display Max Shipment  Caramels in Week Week14?,Max Shipment,NA,Caramels,NA
fetch Net sales  Kroger in Year 2019?,Net sales,NA,NA,Kroger
display Net sales  Target in Week Week47?,Net sales,NA,NA,Target
generate Gross Sales  Coffee in Week Week3 to Week39?,Gross Sales,NA,Coffee,NA
display Revenue  All others in Year 2019?,Revenue,NA,All others,NA
get Gross Sales  Cheese in Week Week4 to Week32?,Gross Sales,Cheese,NA,NA
generate Count  Natural Cheese in Week Week37?,Count,NA,Natural Cheese,NA
get Revenue  Cheese in Month Mar to Nov?,Revenue,Cheese,NA,NA
get Net sales  Tea in Month Nov?,Net sales,NA,Tea,NA
generate Gross Sales  Sauces in Year 2019?,Gross Sales,Sauces,NA,NA
generate Gross Sales  Shelf Stable in Year 2019?,Gross Sales,NA,Shelf Stable,NA
generate Bottom Line  Chocolate in Year 2019?,Bottom Line,NA,Chocolate,NA
display Net sales  Mayonaise in Month Apr?,Net sales,NA,Mayonaise,NA
display Revenue  Ketchup in Week Week8 to Week41?,Revenue,NA,Ketchup,NA
display Count  Amazon in Week Week3?,Count,NA,NA,Amazon
fetch Revenue  Ahold in Year 2019?,Revenue,NA,NA,Ahold
display Gross Sales  Bars/Snacks in Month Nov?,Gross Sales,NA,Bars/Snacks,NA
generate Count  Albertsons/Safeway in Quarter Q1 to Q4?,Count,NA,NA,Albertsons/Safeway
get Gross Sales  Target in Quarter Q1?,Gross Sales,NA,NA,Target
generate Bottom Line  Juice in Month Jan to Sep?,Bottom Line,NA,Juice,NA
fetch Max Shipment  Candy in Year 2019?,Max Shipment,Candy,NA,NA
generate Count  Cheese in Year 2019?,Count,Cheese,NA,NA
get Gross Sales  Cheese in Month Sep?,Gross Sales,Cheese,NA,NA
fetch Count  Ahold in Year 2019?,Count,NA,NA,Ahold
fetch Max Shipment  Costco in Year 2019?,Max Shipment,NA,NA,Costco
display Gross Sales  Natural Cheese in Week Week2 to Week33?,Gross Sales,NA,Natural Cheese,NA
get Top Line  Breakfast in Week Week6?,Top Line,Breakfast,NA,NA
fetch Top Line  Candy in Month Apr to Dec?,Top Line,Candy,NA,NA
generate Max Shipment  Dollar General in Week Week31?,Max Shipment,NA,NA,Dollar General
get Gross Sales  Bars/Snacks in Quarter Q1 to Q4?,Gross Sales,NA,Bars/Snacks,NA
display Bottom Line  Breakfast in Year 2019?,Bottom Line,Breakfast,NA,NA
fetch Max Shipment  Walmart in Week Week4 to Week29?,Max Shipment,NA,NA,Walmart
display Count  Dollar General in Year 2019?,Count,NA,NA,Dollar General
generate Gross Sales  Walmart in Month May to Sep?,Gross Sales,NA,NA,Walmart
display Net sales  Cheese in Week Week13?,Net sales,Cheese,NA,NA
get Count  Candy in Year 2019?,Count,Candy,NA,NA
get Bottom Line  Cheese in Month Jan?,Bottom Line,Cheese,NA,NA
display Net sales  Target in Month May to Nov?,Net sales,NA,NA,Target
display Gross Sales  Meats in Quarter Q4?,Gross Sales,Meats,NA,NA
generate Max Shipment  Candy in Month Apr to Aug?,Max Shipment,Candy,NA,NA
fetch Bottom Line  Dollar General in Week Week15?,Bottom Line,NA,NA,Dollar General
get Bottom Line  Meats in Week Week8 to Week35?,Bottom Line,Meats,NA,NA
fetch Net sales  Kroger in Month Feb?,Net sales,NA,NA,Kroger
display Top Line  Sauces in Quarter Q1 to Q4?,Top Line,Sauces,NA,NA
display Top Line  Meats in Week Week48?,Top Line,Meats,NA,NA
display Revenue  Hot Dogs in Month Jan to Nov?,Revenue,NA,Hot Dogs,NA
get Count  Albertsons/Safeway in Month Jan?,Count,NA,NA,Albertsons/Safeway
fetch Top Line  Cold Cuts in Month May to Oct?,Top Line,NA,Cold Cuts,NA
display Revenue  UNIFI in Year 2019?,Revenue,NA,NA,UNIFI
get Max Shipment  Juice in Month Apr to Oct?,Max Shipment,NA,Juice,NA
display Gross Sales  Sauces in Year 2019?,Gross Sales,Sauces,NA,NA
generate Revenue  Amazon in Week Week16 to Week32?,Revenue,NA,NA,Amazon
display Top Line  Sauces in Quarter Q4?,Top Line,Sauces,NA,NA
generate Count  Walmart in Year 2019?,Count,NA,NA,Walmart
generate Gross Sales  Specialty Meats in Week Week21?,Gross Sales,NA,Specialty Meats,NA
fetch Max Shipment  Breakfast in Month Feb to Aug?,Max Shipment,Breakfast,NA,NA
display Top Line  Enhancers in Month Nov?,Top Line,NA,Enhancers,NA
get Net sales  Amazon in Quarter Q1 to Q4?,Net sales,NA,NA,Amazon
get Top Line  Target in Quarter Q4?,Top Line,NA,NA,Target
generate Bottom Line  Meats in Week Week3 to Week38?,Bottom Line,Meats,NA,NA
generate Count  Chocolate in Quarter Q3?,Count,NA,Chocolate,NA
fetch Top Line  Mayonaise in Year 2019?,Top Line,NA,Mayonaise,NA
get Gross Sales  Caramels in Month Jun?,Gross Sales,NA,Caramels,NA
display Net sales  Meats in Year 2019?,Net sales,Meats,NA,NA
get Count  Cheese in Year 2019?,Count,Cheese,NA,NA
get Revenue  Cheese in Year 2019?,Revenue,Cheese,NA,NA
display Bottom Line  Juice in Month May?,Bottom Line,NA,Juice,NA
generate Gross Sales  Hot Dogs in Month Apr to Nov?,Gross Sales,NA,Hot Dogs,NA
display Count  Meats in Quarter Q2?,Count,Meats,NA,NA
generate Top Line  Processed Cheese in Month Apr to Oct?,Top Line,NA,Processed Cheese,NA
display Top Line  Candy in Week Week35?,Top Line,Candy,NA,NA
get Max Shipment  Specialty Meats in Quarter Q1 to Q4?,Max Shipment,NA,Specialty Meats,NA
generate Top Line  Breakfast in Year 2019?,Top Line,Breakfast,NA,NA
fetch Max Shipment  Natural Cheese in Month Feb to Aug?,Max Shipment,NA,Natural Cheese,NA
display Count  Chocolate in Quarter Q4?,Count,NA,Chocolate,NA
get Count  Sauces in Month Mar to Oct?,Count,Sauces,NA,NA
fetch Top Line  Breakfast in Quarter Q4?,Top Line,Breakfast,NA,NA
fetch Top Line  Breakfast in Year 2019?,Top Line,Breakfast,NA,NA
fetch Count  Candy in Month Aug?,Count,Candy,NA,NA
generate Max Shipment  Ahold in Week Week13 to Week31?,Max Shipment,NA,NA,Ahold
generate Bottom Line  Cheese in Week Week16?,Bottom Line,Cheese,NA,NA
fetch Net sales  Cold Cuts in Year 2019?,Net sales,NA,Cold Cuts,NA
generate Max Shipment  Meats in Month Dec?,Max Shipment,Meats,NA,NA
get Top Line  Breakfast in Year 2019?,Top Line,Breakfast,NA,NA
get Bottom Line  Amazon in Week Week12?,Bottom Line,NA,NA,Amazon
generate Bottom Line  Sauces in Month Mar to Dec?,Bottom Line,Sauces,NA,NA
display Gross Sales  All others in Quarter Q2?,Gross Sales,NA,All others,NA
get Top Line  Meats in Week Week24 to Week29?,Top Line,Meats,NA,NA
get Gross Sales  Natural Cheese in Quarter Q4?,Gross Sales,NA,Natural Cheese,NA
get Count  Natural Cheese in Week Week4 to Week41?,Count,NA,Natural Cheese,NA
display Revenue  Dollar General in Quarter Q4?,Revenue,NA,NA,Dollar General
display Count  Cheese in Week Week25 to Week52?,Count,Cheese,NA,NA
generate Revenue  Meats in Year 2019?,Revenue,Meats,NA,NA
display Gross Sales  Gelatin in Month Mar to Sep?,Gross Sales,NA,Gelatin,NA
get Max Shipment  Candy in Year 2019?,Max Shipment,Candy,NA,NA
get Bottom Line  Publix in Year 2019?,Bottom Line,NA,NA,Publix
fetch Max Shipment  Juice in Month Apr?,Max Shipment,NA,Juice,NA
generate Bottom Line  Tea in Quarter Q2 to Q4?,Bottom Line,NA,Tea,NA
get Gross Sales  Meats in Year 2019?,Gross Sales,Meats,NA,NA
get Net sales  Coffee in Quarter Q1 to Q4?,Net sales,NA,Coffee,NA
generate Top Line  Publix in Quarter Q3?,Top Line,NA,NA,Publix
generate Top Line  Sauces in Year 2019?,Top Line,Sauces,NA,NA
display Gross Sales  Grated in Week Week43?,Gross Sales,NA,Grated,NA
generate Max Shipment  Cheese in Quarter Q2 to Q4?,Max Shipment,Cheese,NA,NA
fetch Bottom Line  Shelf Stable in Year 2019?,Bottom Line,NA,Shelf Stable,NA
get Max Shipment  BBQ in Year 2019?,Max Shipment,NA,BBQ,NA
get Revenue  Meats in Week Week24?,Revenue,Meats,NA,NA
generate Top Line  Kroger in Quarter Q2 to Q4?,Top Line,NA,NA,Kroger
fetch Net sales  Aldi in Week Week33?,Net sales,NA,NA,Aldi
fetch Gross Sales  Walmart in Week Week16 to Week30?,Gross Sales,NA,NA,Walmart
display Max Shipment  Gelatin in Year 2019?,Max Shipment,NA,Gelatin,NA
display Top Line  Natural Cheese in Year 2019?,Top Line,NA,Natural Cheese,NA
generate Max Shipment  Target in Month Aug?,Max Shipment,NA,NA,Target
get Top Line  Cheese in Month Jun to Sep?,Top Line,Cheese,NA,NA
get Top Line  Ahold in Quarter Q3?,Top Line,NA,NA,Ahold
generate Max Shipment  Enhancers in Quarter Q1 to Q4?,Max Shipment,NA,Enhancers,NA
fetch Top Line  Candy in Month Sep?,Top Line,Candy,NA,NA
display Revenue  Kroger in Year 2019?,Revenue,NA,NA,Kroger
display Max Shipment  Breakfast in Week Week6?,Max Shipment,Breakfast,NA,NA
display Count  UNIFI in Month Feb to Oct?,Count,NA,NA,UNIFI
display Gross Sales  Grated in Quarter Q4?,Gross Sales,NA,Grated,NA
generate Count  Breakfast in Month Jan to Oct?,Count,Breakfast,NA,NA
fetch Bottom Line  Cold Cuts in Year 2019?,Bottom Line,NA,Cold Cuts,NA
fetch Max Shipment  Sauces in Week Week7 to Week30?,Max Shipment,Sauces,NA,NA
generate Top Line  Ketchup in Month Aug?,Top Line,NA,Ketchup,NA
fetch Gross Sales  BBQ in Week Week6 to Week42?,Gross Sales,NA,BBQ,NA
fetch Gross Sales  Target in Year 2019?,Gross Sales,NA,NA,Target
get Net sales  Hard in Month May to Dec?,Net sales,NA,Hard,NA
fetch Top Line  Kroger in Week Week48?,Top Line,NA,NA,Kroger
generate Net sales  Processed Cheese in Year 2019?,Net sales,NA,Processed Cheese,NA
display Bottom Line  Specialty Meats in Year 2019?,Bottom Line,NA,Specialty Meats,NA
generate Top Line  Costco in Week Week25 to Week28?,Top Line,NA,NA,Costco
generate Gross Sales  Publix in Year 2019?,Gross Sales,NA,NA,Publix
generate Max Shipment  Ketchup in Month Jan to Dec?,Max Shipment,NA,Ketchup,NA
fetch Revenue  Candy in Year 2019?,Revenue,Candy,NA,NA
generate Gross Sales  Ahold in Week Week2 to Week46?,Gross Sales,NA,NA,Ahold
get Top Line  Candy in Quarter Q1?,Top Line,Candy,NA,NA
display Max Shipment  Costco in Quarter Q2 to Q4?,Max Shipment,NA,NA,Costco
display Top Line  Albertsons/Safeway in Quarter Q1?,Top Line,NA,NA,Albertsons/Safeway
generate Gross Sales  Amazon in Quarter Q1 to Q4?,Gross Sales,NA,NA,Amazon
generate Bottom Line  Cold Cuts in Month May?,Bottom Line,NA,Cold Cuts,NA
generate Count  Meats in Year 2019?,Count,Meats,NA,NA
generate Max Shipment  Costco in Quarter Q4?,Max Shipment,NA,NA,Costco
generate Top Line  Candy in Month Feb to Dec?,Top Line,Candy,NA,NA
display Top Line  Ahold in Month Aug?,Top Line,NA,NA,Ahold
fetch Gross Sales  Breakfast in Month Feb to Oct?,Gross Sales,Breakfast,NA,NA
fetch Count  Meats in Year 2019?,Count,Meats,NA,NA
fetch Count  Meats in Quarter Q1 to Q4?,Count,Meats,NA,NA
get Net sales  Cheese in Year 2019?,Net sales,Cheese,NA,NA
get Net sales  Bars/Snacks in Quarter Q1 to Q4?,Net sales,NA,Bars/Snacks,NA
fetch Top Line  Creamers in Month Dec?,Top Line,NA,Creamers,NA
fetch Max Shipment  Sauces in Quarter Q1 to Q4?,Max Shipment,Sauces,NA,NA
fetch Revenue  Sauces in Quarter Q1?,Revenue,Sauces,NA,NA
generate Net sales  Bacon in Year 2019?,Net sales,NA,Bacon,NA
fetch Top Line  Sauces in Month Nov?,Top Line,Sauces,NA,NA
generate Max Shipment  Breakfast in Month Apr to Dec?,Max Shipment,Breakfast,NA,NA
generate Top Line  Dollar General in Month Aug?,Top Line,NA,NA,Dollar General
display Revenue  Kroger in Year 2019?,Revenue,NA,NA,Kroger
generate Count  Hot Dogs in Quarter Q4?,Count,NA,Hot Dogs,NA
generate Top Line  Kroger in Month Mar to Dec?,Top Line,NA,NA,Kroger
generate Gross Sales  Chocolate in Year 2019?,Gross Sales,NA,Chocolate,NA
fetch Top Line  Breakfast in Month Apr to Aug?,Top Line,Breakfast,NA,NA
get Net sales  Sauces in Year 2019?,Net sales,Sauces,NA,NA
generate Revenue  Enhancers in Quarter Q2 to Q4?,Revenue,NA,Enhancers,NA
fetch Gross Sales  BBQ in Year 2019?,Gross Sales,NA,BBQ,NA
fetch Top Line  Candy in Week Week9 to Week37?,Top Line,Candy,NA,NA
display Top Line  Dollar General in Quarter Q1?,Top Line,NA,NA,Dollar General
get Bottom Line  Sauces in Quarter Q2 to Q4?,Bottom Line,Sauces,NA,NA
get Bottom Line  Gelatin in Quarter Q4?,Bottom Line,NA,Gelatin,NA
get Top Line  Mayonaise in Month Apr to Sep?,Top Line,NA,Mayonaise,NA
fetch Top Line  Breakfast in Year 2019?,Top Line,Breakfast,NA,NA
get Gross Sales  Amazon in Quarter Q1 to Q4?,Gross Sales,NA,NA,Amazon
display Net sales  Publix in Week Week32?,Net sales,NA,NA,Publix
display Bottom Line  Target in Week Week12 to Week35?,Bottom Line,NA,NA,Target
generate Top Line  Natural Cheese in Year 2019?,Top Line,NA,Natural Cheese,NA
generate Max Shipment  Cheese in Week Week9 to Week39?,Max Shipment,Cheese,NA,NA
